date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:12:21	36044/36044	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:20%20GMT	https://old.leu.zuerich/en/industry/	./old-leu-static/old.leu.zuerich/en/industry/index.html	(from https://old.leu.zuerich/en/)
10:12:21	66279/66279	---M-Z	200	added ('OK')	text/html	date:Tue,%2005%20May%202026%2008:12:20%20GMT	https://old.leu.zuerich/en/bazaar/	./old-leu-static/old.leu.zuerich/en/bazaar/index.html	(from https://old.leu.zuerich/en/)
10:12:21	274703/274703	---MC-	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:20%20GMT	https://old.leu.zuerich/en/wp-json/	./old-leu-static/old.leu.zuerich/en/wp-json/index.html	(from https://old.leu.zuerich/en/)
10:12:21	2208/2208	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:21%20GMT	https://old.leu.zuerich/es/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fes%2F	./old-leu-static/old.leu.zuerich/es/wp-json/oembed/1.0/embede6a9.json	(from https://old.leu.zuerich/es/)
10:12:22	748/748	---M-Z	200	added ('OK')	application/rss+xml	etag:%227a9b45e7dae8f811bb0899ed336cc8f5-gzip%22	https://old.leu.zuerich/es/hom/feed/	./old-leu-static/old.leu.zuerich/es/hom/feed/index.html	(from https://old.leu.zuerich/es/)
10:12:22	2355/2355	---M-Z	200	added ('OK')	text/xml	date:Tue,%2005%20May%202026%2008:12:22%20GMT	https://old.leu.zuerich/es/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Fes%2F&format=xml	./old-leu-static/old.leu.zuerich/es/wp-json/oembed/1.0/embeda392	(from https://old.leu.zuerich/es/)
10:12:23	5459/5459	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:22%20GMT	https://old.leu.zuerich/es/wp-json/wp/v2/pages/252	./old-leu-static/old.leu.zuerich/es/wp-json/wp/v2/pages/252.json	(from https://old.leu.zuerich/es/)
10:12:24	2216/2216	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:24%20GMT	https://old.leu.zuerich/fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Ffr%2F	./old-leu-static/old.leu.zuerich/fr/wp-json/oembed/1.0/embed9687.json	(from https://old.leu.zuerich/fr/)
10:12:25	293824/293824	---MC-	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:24%20GMT	https://old.leu.zuerich/es/wp-json/	./old-leu-static/old.leu.zuerich/es/wp-json/index.html	(from https://old.leu.zuerich/es/)
10:12:25	759/759	---M-Z	200	added ('OK')	application/rss+xml	etag:%227a9b45e7dae8f811bb0899ed336cc8f5-gzip%22	https://old.leu.zuerich/fr/front-page/feed/	./old-leu-static/old.leu.zuerich/fr/front-page/feed/index.html	(from https://old.leu.zuerich/fr/)
10:12:25	2362/2362	---M-Z	200	added ('OK')	text/xml	date:Tue,%2005%20May%202026%2008:12:24%20GMT	https://old.leu.zuerich/fr/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fold.leu.zuerich%2Ffr%2F&format=xml	./old-leu-static/old.leu.zuerich/fr/wp-json/oembed/1.0/embed795a	(from https://old.leu.zuerich/fr/)
10:12:26	5455/5455	---M--	200	added ('OK')	application/json	date:Tue,%2005%20May%202026%2008:12:26%20GMT	https://old.leu.zuerich/fr/wp-json/wp/v2/pages/414	./old-leu-static/old.leu.zuerich/fr/wp-json/wp/v2/pages/414.json	(from https://old.leu.zuerich/fr/)
10:12:27	1756/1756	---M--	200	added ('OK')	image/svg+xml	etag:%226dc-5d834a5b7fa51%22	https://old.leu.zuerich/wp-content/themes/LEU/img/leu.svg	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/img/leu.svg	(from https://old.leu.zuerich/wp-content/themes/LEU/style.css?ver=1.1.120260505081154)
10:12:28	9251/9251	---M-Z	200	added ('OK')	text/css	etag:%222423-5f5ff98572660-gzip%22	https://old.leu.zuerich/wp-content/themes/LEU/style.css?ver=1.1.120260505081205	./old-leu-static/old.leu.zuerich/wp-content/themes/LEU/styleea68.css	(from https://old.leu.zuerich/?rsd)
